lat,lon
-8.079782608695652,-34.89186936936937
-8.079782608695652,-34.891756756756756
-8.079782608695652,-34.891644144144145
-8.079782608695652,-34.89153153153153
-8.079782608695652,-34.891418918918916
-8.079782608695652,-34.891306306306305
-8.079782608695652,-34.891193693693694
-8.079782608695652,-34.891081081081076
-8.079782608695652,-34.890968468468465
-8.079782608695652,-34.890855855855854
-8.079782608695652,-34.89074324324324
-8.079782608695652,-34.890630630630625
-8.079782608695652,-34.890518018018014
-8.079782608695652,-34.8904054054054
-8.079782608695652,-34.89029279279279
-8.079782608695652,-34.89018018018018
-8.079782608695652,-34.89006756756756
-8.079782608695652,-34.88995495495495
-8.079782608695652,-34.88984234234234
-8.079782608695652,-34.88972972972973
-8.079782608695652,-34.88961711711711
-8.079782608695652,-34.8895045045045
-8.079782608695652,-34.88939189189189
-8.079782608695652,-34.88927927927928
-8.079782608695652,-34.88916666666667
-8.079782608695652,-34.88905405405405
-8.079782608695652,-34.88894144144144
-8.079782608695652,-34.88882882882883
-8.079782608695652,-34.88871621621622
-8.079782608695652,-34.8886036036036
-8.079782608695652,-34.88849099099099
-8.079782608695652,-34.88837837837838
-8.079782608695652,-34.888265765765766
-8.079782608695652,-34.88815315315315
-8.079782608695652,-34.88804054054054
-8.079782608695652,-34.887927927927926
-8.079782608695652,-34.887815315315315
-8.079782608695652,-34.887702702702704
-8.079782608695652,-34.887590090090086
-8.079782608695652,-34.887477477477475
-8.079782608695652,-34.887364864864864
-8.079782608695652,-34.88725225225225
-8.079782608695652,-34.887139639639635
-8.079782608695652,-34.887027027027024
-8.079782608695652,-34.88691441441441
-8.079782608695652,-34.8868018018018
-8.079782608695652,-34.886689189189184
-8.079782608695652,-34.88657657657657
-8.079782608695652,-34.88646396396396
-8.079782608695652,-34.88635135135135
-8.079782608695652,-34.88623873873874
-8.079782608695652,-34.88612612612612
-8.079782608695652,-34.88601351351351
-8.079782608695652,-34.8859009009009
-8.079782608695652,-34.88578828828829
-8.079782608695652,-34.88567567567567
-8.079782608695652,-34.88556306306306
-8.079782608695652,-34.88545045045045
-8.079782608695652,-34.88533783783784
-8.079782608695652,-34.88522522522522
-8.079782608695652,-34.88511261261261
-8.079710144927537,-34.91
-8.079710144927537,-34.909887387387386
-8.079710144927537,-34.909774774774775
-8.079710144927537,-34.90966216216216
-8.079710144927537,-34.909549549549546
-8.079710144927537,-34.909436936936935
-8.079710144927537,-34.909324324324324
-8.079710144927537,-34.909211711711706
-8.079710144927537,-34.909099099099095
-8.079710144927537,-34.908986486486484
-8.079710144927537,-34.90887387387387
-8.079710144927537,-34.908761261261255
-8.079710144927537,-34.908648648648644
-8.079710144927537,-34.90853603603603
-8.079710144927537,-34.90842342342342
-8.079710144927537,-34.90831081081081
-8.079710144927537,-34.90819819819819
-8.079710144927537,-34.90808558558558
-8.079710144927537,-34.90797297297297
-8.079710144927537,-34.90786036036036
-8.079710144927537,-34.90774774774774
-8.079710144927537,-34.90763513513513
-8.079710144927537,-34.90752252252252
-8.079710144927537,-34.90740990990991
-8.079710144927537,-34.90729729729729
-8.079710144927537,-34.90718468468468
-8.079710144927537,-34.90707207207207
-8.079710144927537,-34.90695945945946
-8.079710144927537,-34.90684684684685
-8.079710144927537,-34.90673423423423
-8.079710144927537,-34.90662162162162
-8.079710144927537,-34.90650900900901
-8.079710144927537,-34.906396396396396
-8.079710144927537,-34.90628378378378
-8.079710144927537,-34.90617117117117
-8.079710144927537,-34.906058558558556
-8.079710144927537,-34.905945945945945
-8.079710144927537,-34.905833333333334
-8.079710144927537,-34.905720720720716
-8.079710144927537,-34.905608108108105
-8.079710144927537,-34.905495495495494
-8.079710144927537,-34.90538288288288
-8.079710144927537,-34.905270270270265
-8.079710144927537,-34.905157657657654
-8.079710144927537,-34.90504504504504
-8.079710144927537,-34.90493243243243
-8.079710144927537,-34.904819819819814
-8.079710144927537,-34.9047072072072
-8.079710144927537,-34.90459459459459
-8.079710144927537,-34.90448198198198
-8.079710144927537,-34.90436936936937
-8.079710144927537,-34.90425675675675
-8.079710144927537,-34.90414414414414
-8.079710144927537,-34.90403153153153
-8.079710144927537,-34.90391891891892
-8.079710144927537,-34.9038063063063
-8.079710144927537,-34.90369369369369
-8.079710144927537,-34.90358108108108
-8.079710144927537,-34.90346846846847
-8.079710144927537,-34.90335585585585
-8.079710144927537,-34.90324324324324
-8.079710144927537,-34.90313063063063
-8.079710144927537,-34.90301801801802
-8.079710144927537,-34.902905405405406
-8.079710144927537,-34.90279279279279
-8.079710144927537,-34.90268018018018
-8.079710144927537,-34.902567567567566
-8.079710144927537,-34.902454954954955
-8.079710144927537,-34.90234234234234
-8.079710144927537,-34.902229729729726
-8.079710144927537,-34.902117117117115
-8.079710144927537,-34.902004504504504
-8.079710144927537,-34.901891891891886
-8.079710144927537,-34.901779279279275
-8.079710144927537,-34.901666666666664
-8.079710144927537,-34.90155405405405
-8.079710144927537,-34.90144144144144
-8.079710144927537,-34.901328828828824
-8.079710144927537,-34.90121621621621
-8.079710144927537,-34.9011036036036
-8.079710144927537,-34.90099099099099
-8.079710144927537,-34.90087837837837
-8.079710144927537,-34.90076576576576
-8.079710144927537,-34.90065315315315
-8.079710144927537,-34.90054054054054
-8.079710144927537,-34.90042792792792
-8.079710144927537,-34.90031531531531
-8.079710144927537,-34.9002027027027
-8.079710144927537,-34.90009009009009
-8.079710144927537,-34.89997747747748
-8.079710144927537,-34.89986486486486
-8.079710144927537,-34.89975225225225
-8.079710144927537,-34.89963963963964
-8.079710144927537,-34.89952702702703
-8.079710144927537,-34.89941441441441
-8.079710144927537,-34.8993018018018
-8.079710144927537,-34.89918918918919
-8.079710144927537,-34.899076576576576
-8.079710144927537,-34.89896396396396
-8.079710144927537,-34.89885135135135
-8.079710144927537,-34.898738738738736
-8.079710144927537,-34.898626126126125
-8.079710144927537,-34.898513513513514
-8.079710144927537,-34.898400900900896
-8.079710144927537,-34.898288288288285
-8.079710144927537,-34.898175675675674
-8.079710144927537,-34.89806306306306
-8.079710144927537,-34.897950450450445
-8.079710144927537,-34.897837837837834
-8.079710144927537,-34.89772522522522
-8.079710144927537,-34.89761261261261
-8.079710144927537,-34.897499999999994
-8.079710144927537,-34.89738738738738
-8.079710144927537,-34.89727477477477
-8.079710144927537,-34.89716216216216
-8.079710144927537,-34.89704954954955
-8.079710144927537,-34.89693693693693
-8.079710144927537,-34.89682432432432
-8.079710144927537,-34.89671171171171
-8.079710144927537,-34.8965990990991
-8.079710144927537,-34.89648648648648
-8.079710144927537,-34.89637387387387
-8.079710144927537,-34.89626126126126
-8.079710144927537,-34.89614864864865
-8.079710144927537,-34.89603603603604
-8.079710144927537,-34.89592342342342
-8.079710144927537,-34.89581081081081
-8.079710144927537,-34.8956981981982
-8.079710144927537,-34.895585585585586
-8.079710144927537,-34.89547297297297
-8.079710144927537,-34.89536036036036
-8.079710144927537,-34.895247747747746
-8.079710144927537,-34.895135135135135
-8.079710144927537,-34.89502252252252
-8.079710144927537,-34.894909909909906
-8.079710144927537,-34.894797297297295
-8.079710144927537,-34.894684684684684
-8.079710144927537,-34.89457207207207
-8.079710144927537,-34.894459459459455
-8.079710144927537,-34.894346846846844
-8.079710144927537,-34.89423423423423
-8.079710144927537,-34.89412162162162
-8.079710144927537,-34.894009009009004
-8.079710144927537,-34.89389639639639
-8.079710144927537,-34.89378378378378
-8.079710144927537,-34.89367117117117
-8.079710144927537,-34.89355855855855
-8.079710144927537,-34.89344594594594
-8.079710144927537,-34.89333333333333
-8.079710144927537,-34.89322072072072
-8.079710144927537,-34.89310810810811
-8.079710144927537,-34.89299549549549
-8.079710144927537,-34.89288288288288
-8.079710144927537,-34.89277027027027
-8.079710144927537,-34.89265765765766
-8.079710144927537,-34.89254504504504
-8.079710144927537,-34.89243243243243
-8.079710144927537,-34.89231981981982
-8.079710144927537,-34.89220720720721
-8.079710144927537,-34.89209459459459
-8.079710144927537,-34.89198198198198
-8.079710144927537,-34.89186936936937
-8.079710144927537,-34.891756756756756
-8.079710144927537,-34.891644144144145
-8.079710144927537,-34.89153153153153
-8.079710144927537,-34.891418918918916
-8.079710144927537,-34.891306306306305
-8.079710144927537,-34.891193693693694
-8.079710144927537,-34.891081081081076
-8.079710144927537,-34.890968468468465
-8.079710144927537,-34.890855855855854
-8.079710144927537,-34.89074324324324
-8.079710144927537,-34.890630630630625
-8.079710144927537,-34.890518018018014
-8.079710144927537,-34.8904054054054
-8.079710144927537,-34.89029279279279
-8.079710144927537,-34.89018018018018
-8.079710144927537,-34.89006756756756
-8.079710144927537,-34.88995495495495
-8.079710144927537,-34.88984234234234
-8.079710144927537,-34.88972972972973
-8.079710144927537,-34.88961711711711
-8.079710144927537,-34.8895045045045
-8.079710144927537,-34.88939189189189
-8.079710144927537,-34.88927927927928
-8.079710144927537,-34.88916666666667
-8.079710144927537,-34.88905405405405
-8.079710144927537,-34.88894144144144
-8.079710144927537,-34.88882882882883
-8.079710144927537,-34.88871621621622
-8.079710144927537,-34.8886036036036
-8.079710144927537,-34.88849099099099
-8.079710144927537,-34.88837837837838
-8.079710144927537,-34.888265765765766
-8.079710144927537,-34.88815315315315
-8.079710144927537,-34.88804054054054
-8.079710144927537,-34.887927927927926
-8.079710144927537,-34.887815315315315
-8.079710144927537,-34.887702702702704
-8.079710144927537,-34.887590090090086
-8.079710144927537,-34.887477477477475
-8.079710144927537,-34.887364864864864
-8.079710144927537,-34.88725225225225
-8.079710144927537,-34.887139639639635
-8.079710144927537,-34.887027027027024
-8.079710144927537,-34.88691441441441
-8.079710144927537,-34.8868018018018
-8.079710144927537,-34.886689189189184
-8.079710144927537,-34.88657657657657
-8.079710144927537,-34.88646396396396
-8.079710144927537,-34.88635135135135
-8.079710144927537,-34.88623873873874
-8.079710144927537,-34.88612612612612
-8.079710144927537,-34.88601351351351
-8.079710144927537,-34.8859009009009
-8.079710144927537,-34.88578828828829
-8.079710144927537,-34.88567567567567
-8.079710144927537,-34.88556306306306
-8.079710144927537,-34.88545045045045
-8.079710144927537,-34.88533783783784
-8.079710144927537,-34.88522522522522
-8.079710144927537,-34.88511261261261
-8.07963768115942,-34.91
-8.07963768115942,-34.909887387387386
-8.07963768115942,-34.909774774774775
-8.07963768115942,-34.90966216216216
-8.07963768115942,-34.909549549549546
-8.07963768115942,-34.909436936936935
-8.07963768115942,-34.909324324324324
-8.07963768115942,-34.909211711711706
-8.07963768115942,-34.909099099099095
-8.07963768115942,-34.908986486486484
-8.07963768115942,-34.90887387387387
-8.07963768115942,-34.908761261261255
-8.07963768115942,-34.908648648648644
-8.07963768115942,-34.90853603603603
-8.07963768115942,-34.90842342342342
-8.07963768115942,-34.90831081081081
-8.07963768115942,-34.90819819819819
-8.07963768115942,-34.90808558558558
-8.07963768115942,-34.90797297297297
-8.07963768115942,-34.90786036036036
-8.07963768115942,-34.90774774774774
-8.07963768115942,-34.90763513513513
-8.07963768115942,-34.90752252252252
-8.07963768115942,-34.90740990990991
-8.07963768115942,-34.90729729729729
-8.07963768115942,-34.90718468468468
-8.07963768115942,-34.90707207207207
-8.07963768115942,-34.90695945945946
-8.07963768115942,-34.90684684684685
-8.07963768115942,-34.90673423423423
-8.07963768115942,-34.90662162162162
-8.07963768115942,-34.90650900900901
-8.07963768115942,-34.906396396396396
-8.07963768115942,-34.90628378378378
-8.07963768115942,-34.90617117117117
-8.07963768115942,-34.906058558558556
-8.07963768115942,-34.905945945945945
-8.07963768115942,-34.905833333333334
-8.07963768115942,-34.905720720720716
-8.07963768115942,-34.905608108108105
-8.07963768115942,-34.905495495495494
-8.07963768115942,-34.90538288288288
-8.07963768115942,-34.905270270270265
-8.07963768115942,-34.905157657657654
-8.07963768115942,-34.90504504504504
-8.07963768115942,-34.90493243243243
-8.07963768115942,-34.904819819819814
-8.07963768115942,-34.9047072072072
-8.07963768115942,-34.90459459459459
-8.07963768115942,-34.90448198198198
-8.07963768115942,-34.90436936936937
-8.07963768115942,-34.90425675675675
-8.07963768115942,-34.90414414414414
-8.07963768115942,-34.90403153153153
-8.07963768115942,-34.90391891891892
-8.07963768115942,-34.9038063063063
-8.07963768115942,-34.90369369369369
-8.07963768115942,-34.90358108108108
-8.07963768115942,-34.90346846846847
-8.07963768115942,-34.90335585585585
-8.07963768115942,-34.90324324324324
-8.07963768115942,-34.90313063063063
-8.07963768115942,-34.90301801801802
-8.07963768115942,-34.902905405405406
-8.07963768115942,-34.90279279279279
-8.07963768115942,-34.90268018018018
-8.07963768115942,-34.902567567567566
-8.07963768115942,-34.902454954954955
-8.07963768115942,-34.90234234234234
-8.07963768115942,-34.902229729729726
-8.07963768115942,-34.902117117117115
-8.07963768115942,-34.902004504504504
-8.07963768115942,-34.901891891891886
-8.07963768115942,-34.901779279279275
-8.07963768115942,-34.901666666666664
-8.07963768115942,-34.90155405405405
-8.07963768115942,-34.90144144144144
-8.07963768115942,-34.901328828828824
-8.07963768115942,-34.90121621621621
-8.07963768115942,-34.9011036036036
-8.07963768115942,-34.90099099099099
-8.07963768115942,-34.90087837837837
-8.07963768115942,-34.90076576576576
-8.07963768115942,-34.90065315315315
-8.07963768115942,-34.90054054054054
-8.07963768115942,-34.90042792792792
-8.07963768115942,-34.90031531531531
-8.07963768115942,-34.9002027027027
-8.07963768115942,-34.90009009009009
-8.07963768115942,-34.89997747747748
-8.07963768115942,-34.89986486486486
-8.07963768115942,-34.89975225225225
-8.07963768115942,-34.89963963963964
-8.07963768115942,-34.89952702702703
-8.07963768115942,-34.89941441441441
-8.07963768115942,-34.8993018018018
-8.07963768115942,-34.89918918918919
-8.07963768115942,-34.899076576576576
-8.07963768115942,-34.89896396396396
-8.07963768115942,-34.89885135135135
-8.07963768115942,-34.898738738738736
-8.07963768115942,-34.898626126126125
-8.07963768115942,-34.898513513513514
-8.07963768115942,-34.898400900900896
-8.07963768115942,-34.898288288288285
-8.07963768115942,-34.898175675675674
-8.07963768115942,-34.89806306306306
-8.07963768115942,-34.897950450450445
-8.07963768115942,-34.897837837837834
-8.07963768115942,-34.89772522522522
-8.07963768115942,-34.89761261261261
-8.07963768115942,-34.897499999999994
-8.07963768115942,-34.89738738738738
-8.07963768115942,-34.89727477477477
-8.07963768115942,-34.89716216216216
-8.07963768115942,-34.89704954954955
-8.07963768115942,-34.89693693693693
-8.07963768115942,-34.89682432432432
-8.07963768115942,-34.89671171171171
-8.07963768115942,-34.8965990990991
-8.07963768115942,-34.89648648648648
-8.07963768115942,-34.89637387387387
-8.07963768115942,-34.89626126126126
-8.07963768115942,-34.89614864864865
-8.07963768115942,-34.89603603603604
-8.07963768115942,-34.89592342342342
-8.07963768115942,-34.89581081081081
-8.07963768115942,-34.8956981981982
-8.07963768115942,-34.895585585585586
-8.07963768115942,-34.89547297297297
-8.07963768115942,-34.89536036036036
-8.07963768115942,-34.895247747747746
-8.07963768115942,-34.895135135135135
-8.07963768115942,-34.89502252252252
-8.07963768115942,-34.894909909909906
-8.07963768115942,-34.894797297297295
-8.07963768115942,-34.894684684684684
-8.07963768115942,-34.89457207207207
-8.07963768115942,-34.894459459459455
-8.07963768115942,-34.894346846846844
-8.07963768115942,-34.89423423423423
-8.07963768115942,-34.89412162162162
-8.07963768115942,-34.894009009009004
-8.07963768115942,-34.89389639639639
-8.07963768115942,-34.89378378378378
-8.07963768115942,-34.89367117117117
-8.07963768115942,-34.89355855855855
-8.07963768115942,-34.89344594594594
